date_cod;month_name_abb; month_name;month_name_abbr;day_name
2000-02-22;Feb;Febbraio;Mar;Martedì
2000-02-23;Feb;Febbraio;Mer;Mercoledì
2000-02-24;Feb;Febbraio;Gio;Giovedì
2000-02-25;Feb;Febbraio;Ven;Venerdì
2000-02-26;Feb;Febbraio;Sab;Sabato
2000-02-27;Feb;Febbraio;Dom;Domenica
2000-02-28;Feb;Febbraio;Lun;Lunedì
2000-02-29;Feb;Febbraio;Mar;Martedì
2000-03-01;Mar;Marzo;Mer;Mercoledì
2000-03-02;Mar;Marzo;Gio;Giovedì
2000-03-03;Mar;Marzo;Ven;Venerdì
2000-03-04;Mar;Marzo;Sab;Sabato
2000-03-05;Mar;Marzo;Dom;Domenica
2000-03-06;Mar;Marzo;Lun;Lunedì
2000-03-07;Mar;Marzo;Mar;Martedì
2000-03-08;Mar;Marzo;Mer;Mercoledì
2000-03-09;Mar;Marzo;Gio;Giovedì
2000-03-10;Mar;Marzo;Ven;Venerdì
2000-03-11;Mar;Marzo;Sab;Sabato
2000-03-12;Mar;Marzo;Dom;Domenica
2000-03-13;Mar;Marzo;Lun;Lunedì
2000-03-14;Mar;Marzo;Mar;Martedì
2000-03-15;Mar;Marzo;Mer;Mercoledì
2000-03-16;Mar;Marzo;Gio;Giovedì
2000-03-17;Mar;Marzo;Ven;Venerdì
2000-03-18;Mar;Marzo;Sab;Sabato
2000-03-19;Mar;Marzo;Dom;Domenica
2000-03-20;Mar;Marzo;Lun;Lunedì
2000-03-21;Mar;Marzo;Mar;Martedì
2000-03-22;Mar;Marzo;Mer;Mercoledì
2000-03-23;Mar;Marzo;Gio;Giovedì
2000-03-24;Mar;Marzo;Ven;Venerdì
2000-03-25;Mar;Marzo;Sab;Sabato
2000-03-26;Mar;Marzo;Dom;Domenica
2000-03-27;Mar;Marzo;Lun;Lunedì
2000-03-28;Mar;Marzo;Mar;Martedì
2000-03-29;Mar;Marzo;Mer;Mercoledì
2000-03-30;Mar;Marzo;Gio;Giovedì
2000-03-31;Mar;Marzo;Ven;Venerdì
2000-04-01;Apr;Aprile;Sab;Sabato
2000-04-02;Apr;Aprile;Dom;Domenica
2000-04-03;Apr;Aprile;Lun;Lunedì
2000-04-04;Apr;Aprile;Mar;Martedì
2000-04-05;Apr;Aprile;Mer;Mercoledì
2000-04-06;Apr;Aprile;Gio;Giovedì
2000-04-07;Apr;Aprile;Ven;Venerdì
2000-04-08;Apr;Aprile;Sab;Sabato
2000-04-09;Apr;Aprile;Dom;Domenica
2000-04-10;Apr;Aprile;Lun;Lunedì
2000-04-11;Apr;Aprile;Mar;Martedì
2000-04-12;Apr;Aprile;Mer;Mercoledì
2000-04-13;Apr;Aprile;Gio;Giovedì
2000-04-14;Apr;Aprile;Ven;Venerdì
2000-04-15;Apr;Aprile;Sab;Sabato
2000-04-16;Apr;Aprile;Dom;Domenica
2000-04-17;Apr;Aprile;Lun;Lunedì
2000-04-18;Apr;Aprile;Mar;Martedì
2000-04-19;Apr;Aprile;Mer;Mercoledì
2000-04-20;Apr;Aprile;Gio;Giovedì
2000-04-21;Apr;Aprile;Ven;Venerdì
2000-04-22;Apr;Aprile;Sab;Sabato
2000-04-23;Apr;Aprile;Dom;Domenica
2000-04-24;Apr;Aprile;Lun;Lunedì
2000-04-25;Apr;Aprile;Mar;Martedì
2000-04-26;Apr;Aprile;Mer;Mercoledì
2000-04-27;Apr;Aprile;Gio;Giovedì
2000-04-28;Apr;Aprile;Ven;Venerdì
2000-04-29;Apr;Aprile;Sab;Sabato
2000-04-30;Apr;Aprile;Dom;Domenica
2000-05-01;Mag;Maggio;Lun;Lunedì
2000-05-02;Mag;Maggio;Mar;Martedì
2000-05-03;Mag;Maggio;Mer;Mercoledì
2000-05-04;Mag;Maggio;Gio;Giovedì
2000-05-05;Mag;Maggio;Ven;Venerdì
2000-05-06;Mag;Maggio;Sab;Sabato
2000-05-07;Mag;Maggio;Dom;Domenica
2000-05-08;Mag;Maggio;Lun;Lunedì
2000-05-09;Mag;Maggio;Mar;Martedì
2000-05-10;Mag;Maggio;Mer;Mercoledì
2000-05-11;Mag;Maggio;Gio;Giovedì
2000-05-12;Mag;Maggio;Ven;Venerdì
2000-05-13;Mag;Maggio;Sab;Sabato
2000-05-14;Mag;Maggio;Dom;Domenica
2000-05-15;Mag;Maggio;Lun;Lunedì
2000-05-16;Mag;Maggio;Mar;Martedì
2000-05-17;Mag;Maggio;Mer;Mercoledì
2000-05-18;Mag;Maggio;Gio;Giovedì
2000-05-19;Mag;Maggio;Ven;Venerdì
2000-05-20;Mag;Maggio;Sab;Sabato
2000-05-21;Mag;Maggio;Dom;Domenica
2000-05-22;Mag;Maggio;Lun;Lunedì
2000-05-23;Mag;Maggio;Mar;Martedì
2000-05-24;Mag;Maggio;Mer;Mercoledì
2000-05-25;Mag;Maggio;Gio;Giovedì
2000-05-26;Mag;Maggio;Ven;Venerdì
2000-05-27;Mag;Maggio;Sab;Sabato
2000-05-28;Mag;Maggio;Dom;Domenica
2000-05-29;Mag;Maggio;Lun;Lunedì
2000-05-30;Mag;Maggio;Mar;Martedì
2000-05-31;Mag;Maggio;Mer;Mercoledì
2000-06-01;Giu;Giugno;Gio;Giovedì
2000-06-02;Giu;Giugno;Ven;Venerdì
2000-06-03;Giu;Giugno;Sab;Sabato
2000-06-04;Giu;Giugno;Dom;Domenica
2000-06-05;Giu;Giugno;Lun;Lunedì
2000-06-06;Giu;Giugno;Mar;Martedì
2000-06-07;Giu;Giugno;Mer;Mercoledì
2000-06-08;Giu;Giugno;Gio;Giovedì
2000-06-09;Giu;Giugno;Ven;Venerdì
2000-06-10;Giu;Giugno;Sab;Sabato
2000-06-11;Giu;Giugno;Dom;Domenica
2000-06-12;Giu;Giugno;Lun;Lunedì
2000-06-13;Giu;Giugno;Mar;Martedì
2000-06-14;Giu;Giugno;Mer;Mercoledì
2000-06-15;Giu;Giugno;Gio;Giovedì
2000-06-16;Giu;Giugno;Ven;Venerdì
2000-06-17;Giu;Giugno;Sab;Sabato
2000-06-18;Giu;Giugno;Dom;Domenica
2000-06-19;Giu;Giugno;Lun;Lunedì
2000-06-20;Giu;Giugno;Mar;Martedì
2000-06-21;Giu;Giugno;Mer;Mercoledì
2000-06-22;Giu;Giugno;Gio;Giovedì
2000-06-23;Giu;Giugno;Ven;Venerdì
2000-06-24;Giu;Giugno;Sab;Sabato
2000-06-25;Giu;Giugno;Dom;Domenica
2000-06-26;Giu;Giugno;Lun;Lunedì
2000-06-27;Giu;Giugno;Mar;Martedì
2000-06-28;Giu;Giugno;Mer;Mercoledì
2000-06-29;Giu;Giugno;Gio;Giovedì
2000-06-30;Giu;Giugno;Ven;Venerdì
2000-07-01;Lug;Luglio;Sab;Sabato
2000-07-02;Lug;Luglio;Dom;Domenica
2000-07-03;Lug;Luglio;Lun;Lunedì
2000-07-04;Lug;Luglio;Mar;Martedì
2000-07-05;Lug;Luglio;Mer;Mercoledì
2000-07-06;Lug;Luglio;Gio;Giovedì
2000-07-07;Lug;Luglio;Ven;Venerdì
2000-07-08;Lug;Luglio;Sab;Sabato
2000-07-09;Lug;Luglio;Dom;Domenica
2000-07-10;Lug;Luglio;Lun;Lunedì
2000-07-11;Lug;Luglio;Mar;Martedì
2000-07-12;Lug;Luglio;Mer;Mercoledì
2000-07-13;Lug;Luglio;Gio;Giovedì
2000-07-14;Lug;Luglio;Ven;Venerdì
2000-07-15;Lug;Luglio;Sab;Sabato
2000-07-16;Lug;Luglio;Dom;Domenica
2000-07-17;Lug;Luglio;Lun;Lunedì
2000-07-18;Lug;Luglio;Mar;Martedì
2000-07-19;Lug;Luglio;Mer;Mercoledì
2000-07-20;Lug;Luglio;Gio;Giovedì
2000-07-21;Lug;Luglio;Ven;Venerdì
2000-07-22;Lug;Luglio;Sab;Sabato
2000-07-23;Lug;Luglio;Dom;Domenica
2000-07-24;Lug;Luglio;Lun;Lunedì
2000-07-25;Lug;Luglio;Mar;Martedì
2000-07-26;Lug;Luglio;Mer;Mercoledì
2000-07-27;Lug;Luglio;Gio;Giovedì
2000-07-28;Lug;Luglio;Ven;Venerdì
2000-07-29;Lug;Luglio;Sab;Sabato
2000-07-30;Lug;Luglio;Dom;Domenica
2000-07-31;Lug;Luglio;Lun;Lunedì
2000-08-01;Ago;Agosto;Mar;Martedì
2000-08-02;Ago;Agosto;Mer;Mercoledì
2000-08-03;Ago;Agosto;Gio;Giovedì
2000-08-04;Ago;Agosto;Ven;Venerdì
2000-08-05;Ago;Agosto;Sab;Sabato
2000-08-06;Ago;Agosto;Dom;Domenica
2000-08-07;Ago;Agosto;Lun;Lunedì
2000-08-08;Ago;Agosto;Mar;Martedì
2000-08-09;Ago;Agosto;Mer;Mercoledì
2000-08-10;Ago;Agosto;Gio;Giovedì
2000-08-11;Ago;Agosto;Ven;Venerdì
2000-08-12;Ago;Agosto;Sab;Sabato
2000-08-13;Ago;Agosto;Dom;Domenica
2000-08-14;Ago;Agosto;Lun;Lunedì
2000-08-15;Ago;Agosto;Mar;Martedì
2000-08-16;Ago;Agosto;Mer;Mercoledì
2000-08-17;Ago;Agosto;Gio;Giovedì
2000-08-18;Ago;Agosto;Ven;Venerdì
2000-08-19;Ago;Agosto;Sab;Sabato
2000-08-20;Ago;Agosto;Dom;Domenica
2000-08-21;Ago;Agosto;Lun;Lunedì
2000-08-22;Ago;Agosto;Mar;Martedì
2000-08-23;Ago;Agosto;Mer;Mercoledì
2000-08-24;Ago;Agosto;Gio;Giovedì
2000-08-25;Ago;Agosto;Ven;Venerdì
2000-08-26;Ago;Agosto;Sab;Sabato
2000-08-27;Ago;Agosto;Dom;Domenica
2000-08-28;Ago;Agosto;Lun;Lunedì
2000-08-29;Ago;Agosto;Mar;Martedì
2000-08-30;Ago;Agosto;Mer;Mercoledì
2000-08-31;Ago;Agosto;Gio;Giovedì
2000-09-01;Set;Settembre;Ven;Venerdì
2000-09-02;Set;Settembre;Sab;Sabato
2000-09-03;Set;Settembre;Dom;Domenica
2000-09-04;Set;Settembre;Lun;Lunedì
2000-09-05;Set;Settembre;Mar;Martedì
2000-09-06;Set;Settembre;Mer;Mercoledì
2000-09-07;Set;Settembre;Gio;Giovedì
2000-09-08;Set;Settembre;Ven;Venerdì
2000-09-09;Set;Settembre;Sab;Sabato
2000-09-10;Set;Settembre;Dom;Domenica
2000-09-11;Set;Settembre;Lun;Lunedì
2000-09-12;Set;Settembre;Mar;Martedì
2000-09-13;Set;Settembre;Mer;Mercoledì
2000-09-14;Set;Settembre;Gio;Giovedì
2000-09-15;Set;Settembre;Ven;Venerdì
2000-09-16;Set;Settembre;Sab;Sabato
2000-09-17;Set;Settembre;Dom;Domenica
2000-09-18;Set;Settembre;Lun;Lunedì
2000-09-19;Set;Settembre;Mar;Martedì
2000-09-20;Set;Settembre;Mer;Mercoledì
2000-09-21;Set;Settembre;Gio;Giovedì
2000-09-22;Set;Settembre;Ven;Venerdì
2000-09-23;Set;Settembre;Sab;Sabato
2000-09-24;Set;Settembre;Dom;Domenica
2000-09-25;Set;Settembre;Lun;Lunedì
2000-09-26;Set;Settembre;Mar;Martedì
2000-09-27;Set;Settembre;Mer;Mercoledì
2000-09-28;Set;Settembre;Gio;Giovedì
2000-09-29;Set;Settembre;Ven;Venerdì
2000-09-30;Set;Settembre;Sab;Sabato
2000-10-01;Ott;Ottobre;Dom;Domenica
2000-10-02;Ott;Ottobre;Lun;Lunedì
2000-10-03;Ott;Ottobre;Mar;Martedì
2000-10-04;Ott;Ottobre;Mer;Mercoledì
2000-10-05;Ott;Ottobre;Gio;Giovedì
2000-10-06;Ott;Ottobre;Ven;Venerdì
2000-10-07;Ott;Ottobre;Sab;Sabato
2000-10-08;Ott;Ottobre;Dom;Domenica
2000-10-09;Ott;Ottobre;Lun;Lunedì
2000-10-10;Ott;Ottobre;Mar;Martedì
2000-10-11;Ott;Ottobre;Mer;Mercoledì
2000-10-12;Ott;Ottobre;Gio;Giovedì
2000-10-13;Ott;Ottobre;Ven;Venerdì
2000-10-14;Ott;Ottobre;Sab;Sabato
2000-10-15;Ott;Ottobre;Dom;Domenica
2000-10-16;Ott;Ottobre;Lun;Lunedì
2000-10-17;Ott;Ottobre;Mar;Martedì
2000-10-18;Ott;Ottobre;Mer;Mercoledì
2000-10-19;Ott;Ottobre;Gio;Giovedì
2000-10-20;Ott;Ottobre;Ven;Venerdì
2000-10-21;Ott;Ottobre;Sab;Sabato
2000-10-22;Ott;Ottobre;Dom;Domenica
2000-10-23;Ott;Ottobre;Lun;Lunedì
2000-10-24;Ott;Ottobre;Mar;Martedì
2000-10-25;Ott;Ottobre;Mer;Mercoledì
2000-10-26;Ott;Ottobre;Gio;Giovedì
2000-10-27;Ott;Ottobre;Ven;Venerdì
2000-10-28;Ott;Ottobre;Sab;Sabato
2000-10-29;Ott;Ottobre;Dom;Domenica
2000-10-30;Ott;Ottobre;Lun;Lunedì
2000-10-31;Ott;Ottobre;Mar;Martedì
2000-11-01;Nov;Novembre;Mer;Mercoledì
2000-11-02;Nov;Novembre;Gio;Giovedì
2000-11-03;Nov;Novembre;Ven;Venerdì
2000-11-04;Nov;Novembre;Sab;Sabato
2000-11-05;Nov;Novembre;Dom;Domenica
2000-11-06;Nov;Novembre;Lun;Lunedì
2000-11-07;Nov;Novembre;Mar;Martedì
2000-11-08;Nov;Novembre;Mer;Mercoledì
2000-11-09;Nov;Novembre;Gio;Giovedì
2000-11-10;Nov;Novembre;Ven;Venerdì
2000-11-11;Nov;Novembre;Sab;Sabato
2000-11-12;Nov;Novembre;Dom;Domenica
2000-11-13;Nov;Novembre;Lun;Lunedì
2000-11-14;Nov;Novembre;Mar;Martedì
2000-11-15;Nov;Novembre;Mer;Mercoledì
2000-11-16;Nov;Novembre;Gio;Giovedì
2000-11-17;Nov;Novembre;Ven;Venerdì
2000-11-18;Nov;Novembre;Sab;Sabato
2000-11-19;Nov;Novembre;Dom;Domenica
2000-11-20;Nov;Novembre;Lun;Lunedì
2000-11-21;Nov;Novembre;Mar;Martedì
2000-11-22;Nov;Novembre;Mer;Mercoledì
2000-11-23;Nov;Novembre;Gio;Giovedì
2000-11-24;Nov;Novembre;Ven;Venerdì
2000-11-25;Nov;Novembre;Sab;Sabato
2000-11-26;Nov;Novembre;Dom;Domenica
2000-11-27;Nov;Novembre;Lun;Lunedì
2000-11-28;Nov;Novembre;Mar;Martedì
2000-11-29;Nov;Novembre;Mer;Mercoledì
2000-11-30;Nov;Novembre;Gio;Giovedì
2000-12-01;Dic;Dicembre;Ven;Venerdì
2000-12-02;Dic;Dicembre;Sab;Sabato
2000-12-03;Dic;Dicembre;Dom;Domenica
2000-12-04;Dic;Dicembre;Lun;Lunedì
2000-12-05;Dic;Dicembre;Mar;Martedì
2000-12-06;Dic;Dicembre;Mer;Mercoledì
2000-12-07;Dic;Dicembre;Gio;Giovedì
2000-12-08;Dic;Dicembre;Ven;Venerdì
2000-12-09;Dic;Dicembre;Sab;Sabato
2000-12-10;Dic;Dicembre;Dom;Domenica
2000-12-11;Dic;Dicembre;Lun;Lunedì
2000-12-12;Dic;Dicembre;Mar;Martedì
2000-12-13;Dic;Dicembre;Mer;Mercoledì
2000-12-14;Dic;Dicembre;Gio;Giovedì
2000-12-15;Dic;Dicembre;Ven;Venerdì
2000-12-16;Dic;Dicembre;Sab;Sabato
2000-12-17;Dic;Dicembre;Dom;Domenica
2000-12-18;Dic;Dicembre;Lun;Lunedì
2000-12-19;Dic;Dicembre;Mar;Martedì
2000-12-20;Dic;Dicembre;Mer;Mercoledì
2000-12-21;Dic;Dicembre;Gio;Giovedì
2000-12-22;Dic;Dicembre;Ven;Venerdì
2000-12-23;Dic;Dicembre;Sab;Sabato
2000-12-24;Dic;Dicembre;Dom;Domenica
2000-12-25;Dic;Dicembre;Lun;Lunedì
2000-12-26;Dic;Dicembre;Mar;Martedì
2000-12-27;Dic;Dicembre;Mer;Mercoledì
2000-12-28;Dic;Dicembre;Gio;Giovedì
2000-12-29;Dic;Dicembre;Ven;Venerdì
2000-12-30;Dic;Dicembre;Sab;Sabato
2000-12-31;Dic;Dicembre;Dom;Domenica
2001-01-01;Gen;Gennaio;Lun;Lunedì
2001-01-02;Gen;Gennaio;Mar;Martedì
2001-01-03;Gen;Gennaio;Mer;Mercoledì
2001-01-04;Gen;Gennaio;Gio;Giovedì
2001-01-05;Gen;Gennaio;Ven;Venerdì
2001-01-06;Gen;Gennaio;Sab;Sabato
2001-01-07;Gen;Gennaio;Dom;Domenica
2001-01-08;Gen;Gennaio;Lun;Lunedì
2001-01-09;Gen;Gennaio;Mar;Martedì
2001-01-10;Gen;Gennaio;Mer;Mercoledì
2001-01-11;Gen;Gennaio;Gio;Giovedì
2001-01-12;Gen;Gennaio;Ven;Venerdì
2001-01-13;Gen;Gennaio;Sab;Sabato
2001-01-14;Gen;Gennaio;Dom;Domenica
2001-01-15;Gen;Gennaio;Lun;Lunedì
2001-01-16;Gen;Gennaio;Mar;Martedì
2001-01-17;Gen;Gennaio;Mer;Mercoledì
2001-01-18;Gen;Gennaio;Gio;Giovedì
2001-01-19;Gen;Gennaio;Ven;Venerdì
2001-01-20;Gen;Gennaio;Sab;Sabato
2001-01-21;Gen;Gennaio;Dom;Domenica
2001-01-22;Gen;Gennaio;Lun;Lunedì
2001-01-23;Gen;Gennaio;Mar;Martedì
2001-01-24;Gen;Gennaio;Mer;Mercoledì
2001-01-25;Gen;Gennaio;Gio;Giovedì
2001-01-26;Gen;Gennaio;Ven;Venerdì
2001-01-27;Gen;Gennaio;Sab;Sabato
2001-01-28;Gen;Gennaio;Dom;Domenica
2001-01-29;Gen;Gennaio;Lun;Lunedì
2001-01-30;Gen;Gennaio;Mar;Martedì
2001-01-31;Gen;Gennaio;Mer;Mercoledì
2001-02-01;Feb;Febbraio;Gio;Giovedì
2001-02-02;Feb;Febbraio;Ven;Venerdì
2001-02-03;Feb;Febbraio;Sab;Sabato
2001-02-04;Feb;Febbraio;Dom;Domenica
2001-02-05;Feb;Febbraio;Lun;Lunedì
2001-02-06;Feb;Febbraio;Mar;Martedì
2001-02-07;Feb;Febbraio;Mer;Mercoledì
2001-02-08;Feb;Febbraio;Gio;Giovedì
2001-02-09;Feb;Febbraio;Ven;Venerdì
2001-02-10;Feb;Febbraio;Sab;Sabato
2001-02-11;Feb;Febbraio;Dom;Domenica
2001-02-12;Feb;Febbraio;Lun;Lunedì
2001-02-13;Feb;Febbraio;Mar;Martedì
2001-02-14;Feb;Febbraio;Mer;Mercoledì
2001-02-15;Feb;Febbraio;Gio;Giovedì
2001-02-16;Feb;Febbraio;Ven;Venerdì
2001-02-17;Feb;Febbraio;Sab;Sabato
2001-02-18;Feb;Febbraio;Dom;Domenica
2001-02-19;Feb;Febbraio;Lun;Lunedì
2001-02-20;Feb;Febbraio;Mar;Martedì
2001-02-21;Feb;Febbraio;Mer;Mercoledì
2001-02-22;Feb;Febbraio;Gio;Giovedì
2001-02-23;Feb;Febbraio;Ven;Venerdì
2001-02-24;Feb;Febbraio;Sab;Sabato
2001-02-25;Feb;Febbraio;Dom;Domenica
2001-02-26;Feb;Febbraio;Lun;Lunedì
2001-02-27;Feb;Febbraio;Mar;Martedì
2001-02-28;Feb;Febbraio;Mer;Mercoledì
2001-03-01;Mar;Marzo;Gio;Giovedì
2001-03-02;Mar;Marzo;Ven;Venerdì
2001-03-03;Mar;Marzo;Sab;Sabato
2001-03-04;Mar;Marzo;Dom;Domenica
2001-03-05;Mar;Marzo;Lun;Lunedì
2001-03-06;Mar;Marzo;Mar;Martedì
2001-03-07;Mar;Marzo;Mer;Mercoledì
2001-03-08;Mar;Marzo;Gio;Giovedì
2001-03-09;Mar;Marzo;Ven;Venerdì
2001-03-10;Mar;Marzo;Sab;Sabato
2001-03-11;Mar;Marzo;Dom;Domenica
2001-03-12;Mar;Marzo;Lun;Lunedì
2001-03-13;Mar;Marzo;Mar;Martedì
2001-03-14;Mar;Marzo;Mer;Mercoledì
2001-03-15;Mar;Marzo;Gio;Giovedì
2001-03-16;Mar;Marzo;Ven;Venerdì
2001-03-17;Mar;Marzo;Sab;Sabato
2001-03-18;Mar;Marzo;Dom;Domenica
2001-03-19;Mar;Marzo;Lun;Lunedì
2001-03-20;Mar;Marzo;Mar;Martedì
2001-03-21;Mar;Marzo;Mer;Mercoledì
2001-03-22;Mar;Marzo;Gio;Giovedì
2001-03-23;Mar;Marzo;Ven;Venerdì
2001-03-24;Mar;Marzo;Sab;Sabato
2001-03-25;Mar;Marzo;Dom;Domenica
2001-03-26;Mar;Marzo;Lun;Lunedì
2001-03-27;Mar;Marzo;Mar;Martedì
2001-03-28;Mar;Marzo;Mer;Mercoledì
2001-03-29;Mar;Marzo;Gio;Giovedì
2001-03-30;Mar;Marzo;Ven;Venerdì
2001-03-31;Mar;Marzo;Sab;Sabato
2001-04-01;Apr;Aprile;Dom;Domenica
2001-04-02;Apr;Aprile;Lun;Lunedì
2001-04-03;Apr;Aprile;Mar;Martedì
2001-04-04;Apr;Aprile;Mer;Mercoledì
2001-04-05;Apr;Aprile;Gio;Giovedì
2001-04-06;Apr;Aprile;Ven;Venerdì
2001-04-07;Apr;Aprile;Sab;Sabato
2001-04-08;Apr;Aprile;Dom;Domenica
2001-04-09;Apr;Aprile;Lun;Lunedì
2001-04-10;Apr;Aprile;Mar;Martedì
2001-04-11;Apr;Aprile;Mer;Mercoledì
2001-04-12;Apr;Aprile;Gio;Giovedì
2001-04-13;Apr;Aprile;Ven;Venerdì
2001-04-14;Apr;Aprile;Sab;Sabato
2001-04-15;Apr;Aprile;Dom;Domenica
2001-04-16;Apr;Aprile;Lun;Lunedì
2001-04-17;Apr;Aprile;Mar;Martedì
2001-04-18;Apr;Aprile;Mer;Mercoledì
2001-04-19;Apr;Aprile;Gio;Giovedì
2001-04-20;Apr;Aprile;Ven;Venerdì
2001-04-21;Apr;Aprile;Sab;Sabato
2001-04-22;Apr;Aprile;Dom;Domenica
2001-04-23;Apr;Aprile;Lun;Lunedì
2001-04-24;Apr;Aprile;Mar;Martedì
2001-04-25;Apr;Aprile;Mer;Mercoledì
2001-04-26;Apr;Aprile;Gio;Giovedì
2001-04-27;Apr;Aprile;Ven;Venerdì
2001-04-28;Apr;Aprile;Sab;Sabato
2001-04-29;Apr;Aprile;Dom;Domenica
2001-04-30;Apr;Aprile;Lun;Lunedì
2001-05-01;Mag;Maggio;Mar;Martedì
2001-05-02;Mag;Maggio;Mer;Mercoledì
2001-05-03;Mag;Maggio;Gio;Giovedì
2001-05-04;Mag;Maggio;Ven;Venerdì
2001-05-05;Mag;Maggio;Sab;Sabato
2001-05-06;Mag;Maggio;Dom;Domenica
2001-05-07;Mag;Maggio;Lun;Lunedì
2001-05-08;Mag;Maggio;Mar;Martedì
2001-05-09;Mag;Maggio;Mer;Mercoledì
2001-05-10;Mag;Maggio;Gio;Giovedì
2001-05-11;Mag;Maggio;Ven;Venerdì
2001-05-12;Mag;Maggio;Sab;Sabato
2001-05-13;Mag;Maggio;Dom;Domenica
2001-05-14;Mag;Maggio;Lun;Lunedì
2001-05-15;Mag;Maggio;Mar;Martedì
2001-05-16;Mag;Maggio;Mer;Mercoledì
2001-05-17;Mag;Maggio;Gio;Giovedì
2001-05-18;Mag;Maggio;Ven;Venerdì
2001-05-19;Mag;Maggio;Sab;Sabato
2001-05-20;Mag;Maggio;Dom;Domenica
2001-05-21;Mag;Maggio;Lun;Lunedì
2001-05-22;Mag;Maggio;Mar;Martedì
2001-05-23;Mag;Maggio;Mer;Mercoledì
2001-05-24;Mag;Maggio;Gio;Giovedì
2001-05-25;Mag;Maggio;Ven;Venerdì
2001-05-26;Mag;Maggio;Sab;Sabato
2001-05-27;Mag;Maggio;Dom;Domenica
2001-05-28;Mag;Maggio;Lun;Lunedì
2001-05-29;Mag;Maggio;Mar;Martedì
2001-05-30;Mag;Maggio;Mer;Mercoledì
2001-05-31;Mag;Maggio;Gio;Giovedì
2001-06-01;Giu;Giugno;Ven;Venerdì
2001-06-02;Giu;Giugno;Sab;Sabato
2001-06-03;Giu;Giugno;Dom;Domenica
2001-06-04;Giu;Giugno;Lun;Lunedì
2001-06-05;Giu;Giugno;Mar;Martedì
2001-06-06;Giu;Giugno;Mer;Mercoledì
2001-06-07;Giu;Giugno;Gio;Giovedì
2001-06-08;Giu;Giugno;Ven;Venerdì
2001-06-09;Giu;Giugno;Sab;Sabato
2001-06-10;Giu;Giugno;Dom;Domenica
2001-06-11;Giu;Giugno;Lun;Lunedì
2001-06-12;Giu;Giugno;Mar;Martedì
2001-06-13;Giu;Giugno;Mer;Mercoledì
2001-06-14;Giu;Giugno;Gio;Giovedì
2001-06-15;Giu;Giugno;Ven;Venerdì
2001-06-16;Giu;Giugno;Sab;Sabato
2001-06-17;Giu;Giugno;Dom;Domenica
2001-06-18;Giu;Giugno;Lun;Lunedì
2001-06-19;Giu;Giugno;Mar;Martedì
