ProductID,Date,SalesVolume,SalesValue,Store
NcbZ-1734,2022-01-01,1,569.88,Coop Marche
fZld-8928,2022-01-01,5,3975.39,Coop Marche
INMW-5184,2022-01-01,3,474.37,Coop Marche
JURQ-2020,2022-01-01,1,624.03,Coop Lazio
fuds-1864,2022-01-01,0,0.0,Coop Marche
bhcH-5689,2022-01-01,4,1083.94,Coop Marche
BzEN-1675,2022-01-01,3,3186.23,Coop Lombardia
yVpc-6692,2022-01-01,1,265.77,Coop Lombardia
NAlQ-8216,2022-01-01,1,225.25,Coop Campania
NPtO-1977,2022-01-01,10,1820.54,Coop Marche
EGwX-9793,2022-01-01,7,6577.66,Coop Marche
ASBp-1468,2022-01-01,4,3821.14,Coop Lazio
LNZd-7493,2022-01-01,10,8552.35,Coop Lombardia
peAT-7854,2022-01-01,1,515.05,Coop Campania
qJUX-5465,2022-01-01,4,3014.88,Coop Lombardia
bBGX-5619,2022-01-01,7,8150.73,Coop Lazio
ODub-0380,2022-01-01,2,2287.78,Coop Lazio
iRCO-6315,2022-01-01,6,4092.13,Coop Lombardia
AZGK-7874,2022-01-01,0,0.0,Coop Lazio
GPZv-4778,2022-01-01,2,986.4,Coop Lazio
jlEh-4408,2022-01-01,6,3322.21,Coop Lazio
tkyP-7880,2022-01-01,9,1752.35,Coop Campania
lMPA-8666,2022-01-01,3,3141.61,Coop Lazio
udAs-3358,2022-01-01,5,3052.52,Coop Lazio
lUpC-3603,2022-01-02,7,2054.61,Coop Campania
Khkv-1795,2022-01-02,9,2112.31,Coop Campania
FShv-2600,2022-01-02,5,4066.76,Coop Marche
rzrI-3299,2022-01-02,8,9708.43,Coop Campania
pKaS-9831,2022-01-02,7,6713.9,Coop Campania
WhnD-0432,2022-01-02,5,2115.28,Coop Lombardia
mBRR-5424,2022-01-02,8,5968.33,Coop Lombardia
xkPq-0171,2022-01-02,8,6720.47,Coop Lombardia
liSY-0023,2022-01-02,5,2972.02,Coop Lazio
BrGn-0164,2022-01-02,10,5469.65,Coop Lombardia
whBR-0415,2022-01-02,4,1391.63,Coop Campania
pDAs-8628,2022-01-02,7,7306.88,Coop Campania
fPsc-0317,2022-01-02,10,11042.79,Coop Lombardia
LqGH-0114,2022-01-02,3,1358.73,Coop Lombardia
KDSR-5597,2022-01-02,2,2235.71,Coop Lombardia
NLDb-9765,2022-01-02,0,0.0,Coop Lombardia
TWKK-1058,2022-01-02,1,1044.8,Coop Lazio
dAbA-6278,2022-01-02,0,0.0,Coop Marche
zcKB-4196,2022-01-02,7,4431.86,Coop Lombardia
AoYT-7535,2022-01-02,0,0.0,Coop Lombardia
JzOi-6456,2022-01-02,1,992.04,Coop Marche
dbTT-5467,2022-01-02,2,2291.76,Coop Campania
bDht-6829,2022-01-02,0,0.0,Coop Lazio
bEQP-7444,2022-01-02,10,1744.42,Coop Marche
LAOd-9346,2022-01-02,1,471.13,Coop Lazio
binr-9295,2022-01-02,7,5699.6,Coop Campania
ipsu-5499,2022-01-02,6,1622.31,Coop Campania
xJTd-1778,2022-01-02,7,3439.35,Coop Marche
OLQP-3993,2022-01-02,2,2334.57,Coop Campania
JOcL-9472,2022-01-02,1,1166.23,Coop Lombardia
JLXS-4481,2022-01-02,7,396.6,Coop Campania
gRAQ-7528,2022-01-02,3,1702.83,Coop Marche
Asit-5581,2022-01-02,9,3862.01,Coop Campania
mkIs-7680,2022-01-02,6,3718.74,Coop Campania
NqgK-1369,2022-01-02,3,2079.56,Coop Campania
HWfy-5370,2022-01-02,1,691.89,Coop Lombardia
VCMi-1172,2022-01-02,7,7473.86,Coop Marche
vhQC-2551,2022-01-02,8,3313.98,Coop Lazio
qaRS-5467,2022-01-02,2,304.26,Coop Marche
KGrK-9665,2022-01-02,4,2283.31,Coop Marche
MOnY-5528,2022-01-02,8,4860.81,Coop Lombardia
VDgg-1734,2022-01-02,3,232.81,Coop Campania
WaVU-9644,2022-01-02,10,6092.05,Coop Lombardia
kvMN-3932,2022-01-02,9,2007.77,Coop Lazio
Ywep-4918,2022-01-02,8,2766.35,Coop Campania
NMVA-0446,2022-01-02,0,0.0,Coop Lombardia
rWhG-2645,2022-01-02,10,10819.65,Coop Lombardia
YDqh-0861,2022-01-02,3,554.05,Coop Marche
VMJd-6098,2022-01-02,3,2609.05,Coop Campania
DLAl-3785,2022-01-02,8,4660.51,Coop Marche
aCAT-3934,2022-01-02,3,2834.24,Coop Marche
rTZd-5307,2022-01-02,7,5696.73,Coop Marche
AsUs-5037,2022-01-02,0,0.0,Coop Lazio
BSwR-7719,2022-01-02,3,3421.26,Coop Lombardia
gFcd-9011,2022-01-02,9,1743.38,Coop Marche
uOSO-2603,2022-01-02,9,10286.89,Coop Lombardia
ScHr-5808,2022-01-02,0,0.0,Coop Campania
bIZX-1934,2022-01-02,3,2337.23,Coop Campania
TEJI-1283,2022-01-02,7,6062.05,Coop Marche
oKDN-5623,2022-01-02,10,5574.82,Coop Marche
xpjy-6558,2022-01-02,10,2447.05,Coop Lombardia
wTQS-1785,2022-01-02,10,5526.58,Coop Lazio
mYDZ-0691,2022-01-02,10,11458.9,Coop Lombardia
VcLB-4437,2022-01-02,8,5206.13,Coop Lombardia
CVZi-6362,2022-01-02,8,3773.44,Coop Lombardia
Pjid-8127,2022-01-02,7,1853.36,Coop Campania
Tmxd-5901,2022-01-02,1,574.11,Coop Lazio
DUnd-2088,2022-01-02,1,695.51,Coop Lombardia
DQMK-7381,2022-01-02,6,3637.05,Coop Campania
sKMt-4467,2022-01-02,10,5394.97,Coop Marche
OTWH-3978,2022-01-02,3,3153.94,Coop Marche
aJpO-1296,2022-01-02,8,1675.39,Coop Lazio
VrKY-6162,2022-01-02,10,7606.44,Coop Lazio
eIDU-7475,2022-01-02,3,297.98,Coop Marche
qiRu-7670,2022-01-02,7,6498.64,Coop Marche
afBm-9573,2022-01-02,9,2417.39,Coop Lazio
NcbZ-1734,2022-01-02,0,0.0,Coop Marche
fZld-8928,2022-01-02,7,5907.93,Coop Lazio
INMW-5184,2022-01-02,2,305.42,Coop Lombardia
JURQ-2020,2022-01-02,5,3674.59,Coop Campania
fuds-1864,2022-01-02,2,448.37,Coop Campania
bhcH-5689,2022-01-02,9,2443.47,Coop Marche
BzEN-1675,2022-01-02,4,4500.01,Coop Lombardia
yVpc-6692,2022-01-02,1,294.82,Coop Lazio
NAlQ-8216,2022-01-02,10,2245.08,Coop Lombardia
NPtO-1977,2022-01-02,4,715.21,Coop Lombardia
EGwX-9793,2022-01-02,10,8818.84,Coop Marche
ASBp-1468,2022-01-02,9,8690.96,Coop Lombardia
LNZd-7493,2022-01-02,9,7642.27,Coop Lazio
peAT-7854,2022-01-02,5,2332.34,Coop Marche
qJUX-5465,2022-01-02,5,3402.06,Coop Campania
bBGX-5619,2022-01-02,5,4981.74,Coop Campania
ODub-0380,2022-01-02,0,0.0,Coop Campania
iRCO-6315,2022-01-02,8,5797.92,Coop Lazio
AZGK-7874,2022-01-02,10,7055.91,Coop Lombardia
GPZv-4778,2022-01-02,0,0.0,Coop Marche
jlEh-4408,2022-01-02,9,4884.21,Coop Lazio
tkyP-7880,2022-01-02,10,1779.34,Coop Lazio
lMPA-8666,2022-01-02,2,2035.63,Coop Marche
udAs-3358,2022-01-02,6,3600.26,Coop Marche
lUpC-3603,2022-01-03,6,1996.41,Coop Marche
Khkv-1795,2022-01-03,6,1213.25,Coop Lazio
FShv-2600,2022-01-03,10,8022.97,Coop Lombardia
rzrI-3299,2022-01-03,4,4255.72,Coop Lombardia
pKaS-9831,2022-01-03,5,4571.12,Coop Marche
WhnD-0432,2022-01-03,2,868.97,Coop Marche
mBRR-5424,2022-01-03,7,4659.01,Coop Campania
xkPq-0171,2022-01-03,3,2385.31,Coop Campania
liSY-0023,2022-01-03,6,3313.74,Coop Lazio
BrGn-0164,2022-01-03,1,546.56,Coop Lazio
whBR-0415,2022-01-03,3,974.05,Coop Lazio
pDAs-8628,2022-01-03,8,8408.54,Coop Marche
fPsc-0317,2022-01-03,6,6099.46,Coop Marche
LqGH-0114,2022-01-03,3,1348.24,Coop Lazio
KDSR-5597,2022-01-03,0,0.0,Coop Lombardia
NLDb-9765,2022-01-03,10,11633.17,Coop Campania
TWKK-1058,2022-01-03,7,7716.53,Coop Marche
dAbA-6278,2022-01-03,5,713.75,Coop Lazio
zcKB-4196,2022-01-03,8,4417.14,Coop Lazio
AoYT-7535,2022-01-03,2,1030.3,Coop Lombardia
JzOi-6456,2022-01-03,5,4949.85,Coop Lombardia
dbTT-5467,2022-01-03,2,2279.63,Coop Lombardia
bDht-6829,2022-01-03,4,2278.89,Coop Marche
bEQP-7444,2022-01-03,9,1574.73,Coop Lazio
LAOd-9346,2022-01-03,10,4462.8,Coop Lombardia
binr-9295,2022-01-03,4,3498.24,Coop Marche
ipsu-5499,2022-01-03,1,282.33,Coop Lombardia
xJTd-1778,2022-01-03,1,548.81,Coop Marche
OLQP-3993,2022-01-03,5,5656.58,Coop Campania
JOcL-9472,2022-01-03,4,4116.53,Coop Lombardia
JLXS-4481,2022-01-03,7,380.3,Coop Marche
gRAQ-7528,2022-01-03,8,4341.24,Coop Marche
Asit-5581,2022-01-03,3,1289.3,Coop Marche
mkIs-7680,2022-01-03,6,3622.46,Coop Lombardia
NqgK-1369,2022-01-03,10,6980.4,Coop Lazio
HWfy-5370,2022-01-03,9,6216.38,Coop Marche
VCMi-1172,2022-01-03,7,7013.99,Coop Campania
vhQC-2551,2022-01-03,5,2155.46,Coop Marche
qaRS-5467,2022-01-03,9,1317.51,Coop Lombardia
KGrK-9665,2022-01-03,3,1747.32,Coop Marche
MOnY-5528,2022-01-03,4,2128.06,Coop Lazio
VDgg-1734,2022-01-03,5,394.47,Coop Lazio
WaVU-9644,2022-01-03,9,5227.88,Coop Campania
kvMN-3932,2022-01-03,9,2344.89,Coop Campania
Ywep-4918,2022-01-03,6,2136.5,Coop Campania
NMVA-0446,2022-01-03,0,0.0,Coop Lombardia
rWhG-2645,2022-01-03,9,10866.82,Coop Lazio
YDqh-0861,2022-01-03,0,0.0,Coop Marche
VMJd-6098,2022-01-03,8,6488.17,Coop Lazio
DLAl-3785,2022-01-03,0,0.0,Coop Lazio
aCAT-3934,2022-01-03,1,1014.5,Coop Campania
rTZd-5307,2022-01-03,5,3596.2,Coop Marche
AsUs-5037,2022-01-03,0,0.0,Coop Lombardia
BSwR-7719,2022-01-03,4,4611.57,Coop Campania
gFcd-9011,2022-01-03,3,555.06,Coop Campania
uOSO-2603,2022-01-03,9,10247.99,Coop Campania
ScHr-5808,2022-01-03,10,1728.1,Coop Campania
bIZX-1934,2022-01-03,6,4236.23,Coop Lazio
TEJI-1283,2022-01-03,8,6891.26,Coop Marche
oKDN-5623,2022-01-03,10,5443.2,Coop Marche
xpjy-6558,2022-01-03,2,489.56,Coop Campania
wTQS-1785,2022-01-03,6,3423.58,Coop Marche
mYDZ-0691,2022-01-03,9,10274.56,Coop Lazio
VcLB-4437,2022-01-03,2,1301.18,Coop Lombardia
CVZi-6362,2022-01-03,1,478.67,Coop Lombardia
Pjid-8127,2022-01-03,6,1543.84,Coop Lazio
Tmxd-5901,2022-01-03,10,5796.39,Coop Lazio
DUnd-2088,2022-01-03,9,5775.25,Coop Marche
DQMK-7381,2022-01-03,10,5343.96,Coop Campania
sKMt-4467,2022-01-03,9,5230.75,Coop Lombardia
OTWH-3978,2022-01-03,10,9551.99,Coop Marche
aJpO-1296,2022-01-03,7,1447.39,Coop Campania
VrKY-6162,2022-01-03,0,0.0,Coop Campania
eIDU-7475,2022-01-03,10,923.71,Coop Campania
qiRu-7670,2022-01-03,0,0.0,Coop Lombardia
afBm-9573,2022-01-03,3,801.18,Coop Campania
NcbZ-1734,2022-01-03,6,3294.16,Coop Lombardia
fZld-8928,2022-01-03,4,3339.0,Coop Marche
INMW-5184,2022-01-03,2,319.49,Coop Marche
JURQ-2020,2022-01-03,5,3583.69,Coop Marche
fuds-1864,2022-01-03,2,450.94,Coop Marche
bhcH-5689,2022-01-03,0,0.0,Coop Campania
BzEN-1675,2022-01-03,8,8213.86,Coop Lazio
yVpc-6692,2022-01-03,1,287.56,Coop Lazio
NAlQ-8216,2022-01-03,0,0.0,Coop Marche
NPtO-1977,2022-01-03,8,1586.5,Coop Lazio
EGwX-9793,2022-01-03,1,1034.3,Coop Lazio
ASBp-1468,2022-01-03,5,5074.61,Coop Campania
LNZd-7493,2022-01-03,1,869.83,Coop Campania
peAT-7854,2022-01-03,4,2054.67,Coop Lombardia
qJUX-5465,2022-01-03,7,5153.09,Coop Marche
bBGX-5619,2022-01-03,1,1090.86,Coop Lazio
ODub-0380,2022-01-03,8,8015.97,Coop Lazio
iRCO-6315,2022-01-03,9,6607.28,Coop Lazio
AZGK-7874,2022-01-03,7,5422.08,Coop Lombardia
GPZv-4778,2022-01-03,9,4465.75,Coop Lombardia
jlEh-4408,2022-01-03,4,2072.22,Coop Marche
tkyP-7880,2022-01-03,7,1337.56,Coop Campania
lMPA-8666,2022-01-03,5,4793.11,Coop Campania
udAs-3358,2022-01-03,1,634.5,Coop Marche
lUpC-3603,2022-01-04,1,334.7,Coop Lombardia
Khkv-1795,2022-01-04,0,0.0,Coop Marche
FShv-2600,2022-01-04,1,774.72,Coop Marche
rzrI-3299,2022-01-04,7,8456.16,Coop Campania
pKaS-9831,2022-01-04,4,3818.42,Coop Lombardia
WhnD-0432,2022-01-04,2,957.48,Coop Lombardia
mBRR-5424,2022-01-04,1,694.15,Coop Lazio
xkPq-0171,2022-01-04,9,7258.82,Coop Lazio
liSY-0023,2022-01-04,0,0.0,Coop Marche
BrGn-0164,2022-01-04,1,575.81,Coop Lazio
whBR-0415,2022-01-04,7,2371.97,Coop Lazio
pDAs-8628,2022-01-04,10,10428.82,Coop Lazio
fPsc-0317,2022-01-04,5,5361.64,Coop Campania
LqGH-0114,2022-01-04,5,2151.69,Coop Campania
KDSR-5597,2022-01-04,0,0.0,Coop Lombardia
NLDb-9765,2022-01-04,1,1150.67,Coop Lombardia
TWKK-1058,2022-01-04,2,2101.56,Coop Marche
dAbA-6278,2022-01-04,2,249.14,Coop Marche
zcKB-4196,2022-01-04,2,1190.62,Coop Marche
AoYT-7535,2022-01-04,7,3483.96,Coop Marche
JzOi-6456,2022-01-04,3,2890.28,Coop Lazio
dbTT-5467,2022-01-04,0,0.0,Coop Lombardia
bDht-6829,2022-01-04,2,1203.03,Coop Lombardia
bEQP-7444,2022-01-04,6,1037.38,Coop Marche
LAOd-9346,2022-01-04,8,3376.84,Coop Lazio
binr-9295,2022-01-04,0,0.0,Coop Lombardia
ipsu-5499,2022-01-04,9,2445.09,Coop Lazio
xJTd-1778,2022-01-04,8,4283.65,Coop Campania
OLQP-3993,2022-01-04,2,2379.84,Coop Marche
JOcL-9472,2022-01-04,0,0.0,Coop Campania
JLXS-4481,2022-01-04,0,0.0,Coop Marche
gRAQ-7528,2022-01-04,4,2372.85,Coop Marche
Asit-5581,2022-01-04,0,0.0,Coop Lombardia
mkIs-7680,2022-01-04,1,654.22,Coop Lombardia
NqgK-1369,2022-01-04,8,5575.63,Coop Lazio
HWfy-5370,2022-01-04,9,6157.96,Coop Marche
VCMi-1172,2022-01-04,0,0.0,Coop Campania
vhQC-2551,2022-01-04,7,2966.18,Coop Lombardia
qaRS-5467,2022-01-04,1,151.15,Coop Marche
KGrK-9665,2022-01-04,8,4503.8,Coop Campania
MOnY-5528,2022-01-04,5,2846.03,Coop Lombardia
VDgg-1734,2022-01-04,9,686.07,Coop Marche
WaVU-9644,2022-01-04,0,0.0,Coop Campania
kvMN-3932,2022-01-04,0,0.0,Coop Campania
Ywep-4918,2022-01-04,1,319.54,Coop Marche
NMVA-0446,2022-01-04,2,35.15,Coop Campania
rWhG-2645,2022-01-04,6,6305.85,Coop Lombardia
YDqh-0861,2022-01-04,10,1915.5,Coop Lombardia
VMJd-6098,2022-01-04,7,5877.49,Coop Lazio
DLAl-3785,2022-01-04,8,4641.13,Coop Lombardia
aCAT-3934,2022-01-04,0,0.0,Coop Campania
rTZd-5307,2022-01-04,3,2496.74,Coop Lazio
AsUs-5037,2022-01-04,8,5443.07,Coop Lombardia
BSwR-7719,2022-01-04,5,5549.61,Coop Campania
gFcd-9011,2022-01-04,10,1944.93,Coop Lazio
uOSO-2603,2022-01-04,0,0.0,Coop Campania
ScHr-5808,2022-01-04,10,1729.44,Coop Lazio
bIZX-1934,2022-01-04,7,5819.57,Coop Campania
TEJI-1283,2022-01-04,5,3886.46,Coop Lazio
oKDN-5623,2022-01-04,8,4565.87,Coop Lombardia
xpjy-6558,2022-01-04,4,1133.52,Coop Lazio
wTQS-1785,2022-01-04,4,2321.42,Coop Lombardia
mYDZ-0691,2022-01-04,7,7644.84,Coop Lombardia
VcLB-4437,2022-01-04,2,1370.27,Coop Campania
CVZi-6362,2022-01-04,9,4122.59,Coop Campania
Pjid-8127,2022-01-04,7,1729.27,Coop Lazio
Tmxd-5901,2022-01-04,0,0.0,Coop Lombardia
DUnd-2088,2022-01-04,9,5952.65,Coop Lombardia
DQMK-7381,2022-01-04,3,1611.32,Coop Lazio
sKMt-4467,2022-01-04,7,3864.89,Coop Lombardia
OTWH-3978,2022-01-04,8,8272.55,Coop Lombardia
aJpO-1296,2022-01-04,4,817.31,Coop Campania
VrKY-6162,2022-01-04,1,784.58,Coop Marche
eIDU-7475,2022-01-04,8,743.19,Coop Campania
qiRu-7670,2022-01-04,1,857.17,Coop Lazio
afBm-9573,2022-01-04,3,741.17,Coop Lazio
NcbZ-1734,2022-01-04,0,0.0,Coop Marche
fZld-8928,2022-01-04,10,8585.19,Coop Marche
INMW-5184,2022-01-04,10,1618.74,Coop Lazio
JURQ-2020,2022-01-04,7,4952.12,Coop Lazio
fuds-1864,2022-01-04,8,1826.45,Coop Lazio
bhcH-5689,2022-01-04,0,0.0,Coop Campania
BzEN-1675,2022-01-04,9,10074.62,Coop Lombardia
yVpc-6692,2022-01-04,5,1473.32,Coop Campania
NAlQ-8216,2022-01-04,5,1179.52,Coop Lazio
NPtO-1977,2022-01-04,10,2089.99,Coop Campania
EGwX-9793,2022-01-04,5,4928.5,Coop Campania
ASBp-1468,2022-01-04,8,7664.3,Coop Lombardia
LNZd-7493,2022-01-04,8,6792.16,Coop Marche
peAT-7854,2022-01-04,9,4476.63,Coop Campania
qJUX-5465,2022-01-04,7,4685.59,Coop Campania
bBGX-5619,2022-01-04,0,0.0,Coop Campania
ODub-0380,2022-01-04,0,0.0,Coop Lazio
iRCO-6315,2022-01-04,6,4486.87,Coop Lombardia
AZGK-7874,2022-01-04,1,800.01,Coop Campania
GPZv-4778,2022-01-04,9,4914.78,Coop Lombardia
jlEh-4408,2022-01-04,10,5371.84,Coop Lazio
tkyP-7880,2022-01-04,8,1677.27,Coop Campania
lMPA-8666,2022-01-04,7,6832.35,Coop Lombardia
udAs-3358,2022-01-04,0,0.0,Coop Lombardia
lUpC-3603,2022-01-05,3,1023.87,Coop Lombardia
Khkv-1795,2022-01-05,2,460.76,Coop Campania
FShv-2600,2022-01-05,3,2459.99,Coop Marche
rzrI-3299,2022-01-05,9,10405.27,Coop Lombardia
pKaS-9831,2022-01-05,10,8590.82,Coop Campania
WhnD-0432,2022-01-05,6,2720.49,Coop Marche
mBRR-5424,2022-01-05,0,0.0,Coop Marche
xkPq-0171,2022-01-05,7,6001.43,Coop Lombardia
liSY-0023,2022-01-05,6,3301.24,Coop Lombardia
BrGn-0164,2022-01-05,8,4360.3,Coop Campania
whBR-0415,2022-01-05,3,1133.48,Coop Campania
pDAs-8628,2022-01-05,7,7488.1,Coop Lombardia
fPsc-0317,2022-01-05,0,0.0,Coop Campania
LqGH-0114,2022-01-05,0,0.0,Coop Lombardia
KDSR-5597,2022-01-05,6,6131.79,Coop Campania
NLDb-9765,2022-01-05,10,11087.17,Coop Marche
TWKK-1058,2022-01-05,3,3338.64,Coop Lombardia
dAbA-6278,2022-01-05,7,934.75,Coop Campania
zcKB-4196,2022-01-05,2,1200.16,Coop Campania
AoYT-7535,2022-01-05,0,0.0,Coop Lombardia
JzOi-6456,2022-01-05,9,8871.75,Coop Lazio
dbTT-5467,2022-01-05,3,3369.29,Coop Campania
bDht-6829,2022-01-05,0,0.0,Coop Campania
bEQP-7444,2022-01-05,8,1323.17,Coop Marche
LAOd-9346,2022-01-05,2,882.58,Coop Campania
binr-9295,2022-01-05,8,6766.04,Coop Marche
ipsu-5499,2022-01-05,0,0.0,Coop Lazio
xJTd-1778,2022-01-05,5,2517.84,Coop Campania
OLQP-3993,2022-01-05,8,8659.87,Coop Marche
JOcL-9472,2022-01-05,6,6397.47,Coop Campania
JLXS-4481,2022-01-05,8,453.63,Coop Lombardia
gRAQ-7528,2022-01-05,9,5346.44,Coop Lombardia
Asit-5581,2022-01-05,1,400.95,Coop Campania
mkIs-7680,2022-01-05,6,4154.18,Coop Marche
NqgK-1369,2022-01-05,8,5503.99,Coop Lazio
HWfy-5370,2022-01-05,3,2156.54,Coop Marche
VCMi-1172,2022-01-05,1,1035.86,Coop Marche
vhQC-2551,2022-01-05,1,401.98,Coop Lombardia
qaRS-5467,2022-01-05,3,502.2,Coop Lombardia
KGrK-9665,2022-01-05,8,5253.73,Coop Lazio
MOnY-5528,2022-01-05,3,1779.84,Coop Lazio
VDgg-1734,2022-01-05,1,74.74,Coop Lazio
WaVU-9644,2022-01-05,0,0.0,Coop Lazio
kvMN-3932,2022-01-05,5,1124.24,Coop Lombardia
Ywep-4918,2022-01-05,9,3129.63,Coop Campania
NMVA-0446,2022-01-05,4,74.59,Coop Marche
rWhG-2645,2022-01-05,9,9588.29,Coop Campania
YDqh-0861,2022-01-05,1,174.67,Coop Lombardia
VMJd-6098,2022-01-05,6,4450.73,Coop Marche
DLAl-3785,2022-01-05,5,2718.23,Coop Lombardia
aCAT-3934,2022-01-05,6,5892.76,Coop Lazio
rTZd-5307,2022-01-05,6,4646.3,Coop Lazio
AsUs-5037,2022-01-05,10,7720.08,Coop Lazio
BSwR-7719,2022-01-05,3,3095.25,Coop Marche
gFcd-9011,2022-01-05,5,953.7,Coop Marche
uOSO-2603,2022-01-05,1,1061.26,Coop Lombardia
ScHr-5808,2022-01-05,0,0.0,Coop Campania
bIZX-1934,2022-01-05,3,2252.04,Coop Lazio
TEJI-1283,2022-01-05,9,6640.74,Coop Campania
oKDN-5623,2022-01-05,0,0.0,Coop Campania
xpjy-6558,2022-01-05,6,1636.23,Coop Campania
wTQS-1785,2022-01-05,10,5147.02,Coop Marche
mYDZ-0691,2022-01-05,8,8025.2,Coop Lazio
VcLB-4437,2022-01-05,7,5019.32,Coop Lombardia
CVZi-6362,2022-01-05,1,527.41,Coop Lombardia
Pjid-8127,2022-01-05,2,556.66,Coop Marche
Tmxd-5901,2022-01-05,0,0.0,Coop Marche
DUnd-2088,2022-01-05,0,0.0,Coop Marche
DQMK-7381,2022-01-05,4,2149.96,Coop Campania
sKMt-4467,2022-01-05,9,4826.46,Coop Marche
OTWH-3978,2022-01-05,6,6243.6,Coop Campania
aJpO-1296,2022-01-05,8,1715.92,Coop Campania
VrKY-6162,2022-01-05,2,1410.51,Coop Lazio
eIDU-7475,2022-01-05,1,103.46,Coop Lombardia
qiRu-7670,2022-01-05,0,0.0,Coop Marche
